PaperID,Taxon,Author,YearPublished,Metric,EffectSize,EffectSizeStandardError,FireType,Intensity,FireQuantified,FieldNotes,YearSinceFire,TimeClass,HabitatType,HabitatDetails,Region,RegionDetails,Biome,Month,Season,Growing
28,Carabids,Koivula et al.,2006,Abundance,0.91,0.25,Prescribed Fire,Low,Yes,"""light burns""",2,1-5,Coniferous Forest,"white spruce, small portion of black spruce",Canada,"Alberta, Canada",Boreal Forests/taiga,July,,Growing
28,Carabids,Koivula et al.,2006,Abundance,0.82,0.24,Prescribed Fire,High,Yes,"""Severe Burns""",2,1-5,Coniferous Forest,"white spruce, small portion of black spruce",Canada,"Alberta, Canada",Boreal Forests/taiga,July,,Growing
28,Carabids,Koivula et al.,2006,Richness,0.78,0.24,Prescribed Fire,Low,Yes,"""light burns""",2,1-5,Coniferous Forest,"white spruce, small portion of black spruce",Canada,"Alberta, Canada",Boreal Forests/taiga,July,,Growing
28,Carabids,Koivula et al.,2006,Richness,1.07,0.26,Prescribed Fire,High,Yes,"""Severe Burns""",2,1-5,Coniferous Forest,"white spruce, small portion of black spruce",Canada,"Alberta, Canada",Boreal Forests/taiga,July,,Growing
33,Carabids,Martikainen et al.,2006,Abundance,-0.12,0.1,Prescribed Fire,Mid,Descriptive,Described in Hyvarinen et al. 2005,1,1-5,Mixed Forest,"pinus, picea, two species of betula",Europe,Finland,,June,,Growing
33,Carabids,Martikainen et al.,2006,Richness,0.29,0.1,Prescribed Fire,Mid,Descriptive,Described in Hyvarinen et al. 2006,1,1-5,Mixed Forest,"pinus, picea, two species of betula",Europe,Finland,,June,,Growing
37,Carabids,Moretti et al.,2004,Richness,0,0.08,Wildfire,Low,Descriptive,"""Surface fire""",0,0,Deciduous Forest,Sweet Chestnut,Europe,Switzerland,Boreal Forests/taiga,December; January ;February; March; April,Winter,Dormant
37,Carabids,Moretti et al.,2004,Abundance,-0.04,0.08,Wildfire,Low,Descriptive,"""Surface fire""",0,0,Deciduous Forest,Sweet Chestnut,Europe,Switzerland,Temperate broadleaf & mixed forests,December; January ;February; March; April,Winter,Dormant
39,Carabids,Nunes et al.,2006,Abundance,-0.07,0,Prescribed Fire,N/A,No,,1,1-5,Shrubland,Erica spp.,Europe,Portugal,"Mediterranean forests, woodlands, & scrub",February; March,Spring,Growing
39,Carabids,Nunes et al.,2006,Abundance,0.01,0,Prescribed Fire,N/A,No,,1,1-5,Coniferous Forest,"Pine forest, Pinus pinaster",Europe,Portugal,"Mediterranean forests, woodlands, & scrub",February; March,Spring,Growing
39,Carabids,Nunes et al.,2006,Abundance,0,0.01,Prescribed Fire,N/A,No,,1,1-5,Shrubland,Erica spp.,Europe,Portugal,"Mediterranean forests, woodlands, & scrub",February; March,Spring,Growing
39,Carabids,Nunes et al.,2006,Abundance,0.01,0.01,Prescribed Fire,N/A,No,,1,1-5,Coniferous Forest,"Pine forest, Pinus pinaster",Europe,Portugal,"Mediterranean forests, woodlands, & scrub",February; March,Spring,Growing
39,Carabids,Nunes et al.,2006,Richness,-0.04,0,Prescribed Fire,N/A,No,,1,1-5,Shrubland,Erica spp.,Europe,Portugal,"Mediterranean forests, woodlands, & scrub",February; March,Spring,Growing
39,Carabids,Nunes et al.,2006,Richness,-0.02,0,Prescribed Fire,N/A,No,,1,1-5,Coniferous Forest,"Pine forest, Pinus pinaster",Europe,Portugal,"Mediterranean forests, woodlands, & scrub",February; March,Spring,Growing
39,Carabids,Nunes et al.,2006,Richness,-0.03,0.01,Prescribed Fire,N/A,No,,1,1-5,Shrubland,Erica spp.,Europe,Portugal,"Mediterranean forests, woodlands, & scrub",February; March,Spring,Growing
39,Carabids,Nunes et al.,2006,Richness,-0.01,0.01,Prescribed Fire,N/A,No,,1,1-5,Coniferous Forest,"Pine forest, Pinus pinaster",Europe,Portugal,"Mediterranean forests, woodlands, & scrub",February; March,Spring,Growing
42,Carabids,Parmenter et al.,2011,Abundance,-0.85,0.07,Wildfire,N/A,No,"""Flame lengths and rates of spread were not recorded""",0,0,Grassland,"""desert grassland habitat""",North America West,"New Mexico, US",,June,N/A,Growing
42,Carabids,Parmenter et al.,2011,Richness,1.73,0.08,Wildfire,N/A,No,"""Flame lengths and rates of spread were not recorded""",0,0,Grassland,"""desert grassland habitat""",North America West,"New Mexico, US",,June,N/A,Growing
45,Carabids,Saint-Germain et al.,2005,Abundance,-0.18,0.12,Wildfire,N/A,No,,2,1-5,Coniferous Forest,"Spruce forest, black spruce",Canada,Quebec,Boreal Forests/taiga,No,No,N/A
47,Carabids,Samu et al.,2010,Abundance,0.53,0.1,Wildfire,N/A,No,,0,0,Grassland,Grassland,Europe,Hungary,Temperate conifer forests,June,Summer,Growing
47,Carabids,Samu et al.,2010,Richness,0.14,0.1,Wildfire,N/A,No,,0,0,Grassland,Grassland,Europe,Hungary,"Temperate grasslands, savannas, & shrublands",June,Summer,Growing
51,Carabids,Toivanen et al.,2014,Richness,-0.05,0.2,Prescribed Fire,Low,Desciptive,"""ground fires with occasional jump to the canopy""",7,5+,Coniferous Forest,Norway spruce,Europe,Finland,,June; July; August,Summer,Growing
51,Carabids,Toivanen et al.,2014,Abundance,-0.38,0.21,Prescribed Fire,Low,Desciptive,"""ground fires with occasional jump to the canopy""",7,5+,Coniferous Forest,Norway spruce,Europe,Finland,,June; July; August,Summer,Growing
56,Carabids,Pryke and Samways,2012,Abundance,-0.51,0.43,Wildfire,N/A,No,,0,0,Shrubland,Fynbos dominated,Africa,South Africa,Deserts & Xeric Shrubland,,Summer,Growing
56,Carabids,Pryke and Samways,2012,Abundance,-0.18,0.42,Wildfire,N/A,No,,0,0,Shrubland,Fynbos dominated,Africa,South Africa,Deserts & Xeric Shrubland,,Summer,Growing
56,Carabids,Pryke and Samways,2012,Richness,-0.1,0.41,Wildfire,N/A,No,,0,0,Shrubland,Fynbos dominated,Africa,South Africa,Deserts & Xeric Shrubland,,Summer,Growing
56,Carabids,Pryke and Samways,2012,Richness,-0.49,0.43,Wildfire,N/A,No,,0,0,Shrubland,Fynbos dominated,Africa,South Africa,Deserts & Xeric Shrubland,,Summer,Growing
58,Carabids,Gongalski et al.,2008,Abundance,1.52,0.11,Wildfire,High,Desciptive,,2,1-5,Coniferous Forest,"""Scots Pine, Norway Spruce, Pine Forest...""",Europe,Sweden,,August,Summer,Growing
58,Carabids,Gongalski et al.,2008,Richness,1.89,0.13,Wildfire,High,Desciptive,,2,1-5,Coniferous Forest,"""Scots Pine, Norway Spruce, Pine Forest...""",Europe,Sweden,,August,Summer,Growing
