paperKey,Author,YearPublished,journal,Title,TypeOfStudy,Mean?,SD?,SE?,statisticalTestsUsed,relevant,relevantReason,Email Authors?,peerReviewStatus,Comments
30,Kwon et al.,2013,Journal of Asia-Pacific Entomology,Change of arthropod abundance in burned forests: Different patterns according to functional guilds,Experimental,No,No,No,"GLM, NMDS",TRUE,Functional Groups,Yes,Peer,"Only abudance of Carabids per site is given, which we can use just for abundance metrics, but not richness (email for raw species data)"
31,Larsen and Work,2003,Journal of insect Conservation,"Differences in ground beetles (Coleoptera: Carabidae) of original and reconstructed tallgrass prairies in northeastern Iowa, USA, and impact of 3-year spring burn cycles",Observational,Yes,Yes,No,NMDS,FALSE,PyroEnto,No,Peer,
32,Lyubechanskii and Azarkina,2017,"Sibirskii Ekologicheskii Zhurnal,","Ecological Structure of the West Siberian Forest-Steppe Spider Community (Arachnida, Araneae) and Its Comparison with the Ground-Beetle (Coleoptera, Carabidae) Community",FALSE,Yes,No,No,UPGMA,FALSE,Not Pyroento,No,Peer,"Carabid is in the title, but nowhere in the paper"
33,Martikainen et al.,2006,Ecography,The effects of green tree retention and subsequent prescribed burning on ground beetles (Coleoptera: Carabidae) in boreal pine-dominated forests,Experimental,Yes,No,Yes,"ANOVA, NMDS",TRUE,Pyroento,Yes,Peer,Need raw data from each pitfall trap
34,Mawdsley,2007,Proceedings of the Entomological Society of Washington,"Ecology, Distrbution, and Conservation Biology of the Tiger Beetle Cicindela patruela consentanea Dejean (Coleoptera:Carabidae: Cicindelinae)",FALSE,No,No,No,FALSE,FALSE,Not PyroEnto,No,Peer,Natural history paper on tiger beetle
35,Montero et al.,2011,Revista Colombiana de Entomologia,Ensambles estacionales de artopodos epigeos en un bosque de quebracho (Schinopsis balansae) en el Chaco Humedo,FALSE,N/A,N/A,N/A,N/A,FALSE,Not English,No,Peer,
36,Mordkovich et al.,2008,Contemporary Problems of Ecology,Soil Arthropoda of Post-Fire successions in Northern Taiga of West Siberia,Experimental,No,No,No,Not Mentioned,TRUE,Pyroento,Yes,Peer,Need raw data from traps to assess abundance + richness
37,Moretti et al.,2004,Ecography,Arthropod biodiversity after forest fires: winners and losers in the winter fire regime of the southern Alps,Experimental,Yes,Yes,No,ANOVA,TRUE,Pyroento,No,Peer,
38,Niwa and Peck,2002,Environmental Entomology,Influence of Prescribed Fire on Carabid Beetle (Carabidae) and Spider (Araneae) Assemblages in Forest Litter in Southwestern Oregon,Experimental,Yes,No,Yes,Regression,TRUE,Pyroento,Yes,Peer,"need pitfalltrap data from 1998 burn site and control, but also ask if they have data from previous years with control data from the same year, seperated out by year."
39,Nunes et al.,2006,Silva Lusitana,Carabid (Coleoptera) Community Changes Following Prescribed Burning and the Potential Use of Carabids as Indicators Species to Evaluate the Effects of Fire Management in Mediterranean Regions,Experimental,Yes,No,No,Correlation,TRUE,Pyroento,No,Peer,Data in graphs.
40,Oliver et al.,2000,Forest Ecology and Management,Identifying performance indicators of the effects of forest management on ground-active arthropod biodiversity using hierarchical partitioning and partial canonical correspondence analysis,Experimental,No,No,No,"Hierarchical Partitioning, partial-CCA",Maybe?,Fire+Mechanical,Yes,Peer,"Need raw data from pitfalls. I *think* this could be a ""fire+mechanical"" paper. It seems all treatments were logged with fire, but nothing specifically shows for or against that. Need data from >50 years since logging sites."
41,Paquin,2008,Biological Conservation,Carabid beetle (Coleoptera: Carabidae) diversity in the black spruce succession of eastern Canada,Experimental,Yes,No,No,Chronological Clustering,TRUE,Pyroento,Yes,Peer,Need SE for each trap site. Best if we have raw trap data to look at ourselves.
42,Parmenter et al.,2011,Environmental Entomology,Short-Term Effects of a Summer Wildfire on a Desert Grassland Arthropod Community in New Mexico,Experimental,Yes,No,Yes,RMANOVA,TRUE,Pyroento,Yes,Peer,"Table 2 has data, but we need site by site data for SE."
43,Pearce and Venier,2006,Ecological Indicators,The use of ground beetles (Coleoptera: Carabidae) and spiders (Araneae) as bioindicators of sustainable forest management: A review,FALSE,No,No,No,FALSE,FALSE,Review,No,Peer,
44,Radea and Arianoutsou,2012,Israel Journal of Ecology & Evolution,Soil Arthropod Communities and Population Dynamics Following Wildfires in Pine Forests of the Mediterranean Basin: A Review,FALSE,No,No,No,FALSE,FALSE,Review,No,Peer,
45,Saint-Germain et al.,2005,Forest Ecology and Management,Short-term response of ground beetles (Coleoptera: Carabidae) to fire and logging in a spruce-dominated boreal landscape,Experimental,Yes,No,No,"ANOVA, Yukey's HSD, NMDS",TRUE,Pyroento,No,Peer,
46,Santalla et al.,2002,Fire and Biological Processes,Changes in the Carabidae community after a large fire in a Pinus pinaster stand,Experimental,Yes,Yes,No,No statistics,TRUE,Pyroento,Yes,Peer,"Need raw data from PQ, PR, and PC in order to calculate SE."
47,Samu et al.,2010,Community Ecology,"Differential ecological responses of two generalist arthropod groups,spiders and carabid beetles (Araneae, Carabidae), to the effects of wildfire",Experimental,No,No,No,"perMANOVA, DCA",TRUE,Pyroento,No,Peer,Strange the data aren't in this paper -- it is from ComEco
48,Sasal et al.,2010,Journal of Insect Science,"Succession of ground-dwelling beetle assemblages after fire in three habitat types in the Andean forest of NW Patagonia, Argentina",Observational,Yes,No,Yes,"ANOVA, Tukey's HSD, NMDS",TRUE,Pyroento,No,Peer,clearly states no control
49,Sustek et al.,2017,Journal of Hydrology and Hydromechanics,"Drought impact on ground beetle assemblages (Coleoptera, Carabidae) in Norway spruce forests with different management after windstorm damage – a case study from Tatra Mts. (Slovakia)",FALSE,Yes,No,No,NMDS,FALSE,Fire+Mechanical,No,Peer,treatments included mechanical means WITH fire
50,Taber et al.,2008,Southwestern Entomologist,Arthropod Abundance Following a Prescribed Burn in the Lost Pine Forest of Central Texas,FALSE,N/A,N/A,N/A,Wilcoxon Test,FALSE,No Carabids,No,Peer,
51,Toivanen et al.,2014,Forest Ecology and Management,"Emulating natural disturbances in boreal Norway spruce forests: Effects on ground beetles (Coleoptera, Carabidae)",Experimental,Yes,Yes,Yes,"Nested-ANOVA, Regression Trees",TRUE,Pyroento,No,Peer,
52,Willand et al.,2011,American Midland Naturalist,Diversity of Ground Beetles (Coleoptera:Carabidae) in Relation to Habitat Type in West-Central Illinois,Observational,No,Yes,No,"ANOVA, NMDS, MRPP",FALSE,Pyroento,No,Peer,
